TV,Radio,Newspaper,Area,Prod_type,Sales
230.1,37.8,69.2,suburban,Basic,38
44.5,39.3,45.1,rural,Higher,10.4
17.2,45.9,69.3,rural,Medium,9.3
151.5,41.3,58.5,suburban,Medium,18.5
180.8,10.8,58.4,suburban,Higher,12.9
8.7,48.9,75,rural,Basic,7.2
57.5,32.8,,urban,Basic,11.8
120.2,19.6,11.6,suburban,Higher,13.2
8.6,,1,rural,Medium,4.8
199.8,2.6,21.2,rural,Medium,10.6
66.1,5.8,,rural,Higher,8.6
214.7,24,4,suburban,Basic,21
23.8,35.1,65.9,rural,Higher,9.2
97.5,7.6,7.2,rural,Basic,9.7
204.1,32.9,46,rural,Medium,19
195.4,47.7,52.9,suburban,Higher,22.4
67.8,36.6,114,rural,Basic,12.5
800,39.6,55.8,rural,Medium,24.4
69.2,20.5,18.3,suburban,Higher,11.3
147.3,23.9,19.1,suburban,Basic,14.6
218.4,27.7,53.4,suburban,Basic,35
237.4,,23.5,suburban,Higher,12.5
13.2,15.9,49.6,suburban,Medium,5.6
228.3,16.9,26.2,suburban,Medium,15.5
62.3,12.6,18.3,suburban,Higher,9.7
262.9,3.5,19.5,rural,Basic,49
142.9,29.3,12.6,rural,Basic,15
240.1,16.7,22.9,rural,Higher,15.9
248.8,27.1,22.9,rural,Medium,18.9
70.6,16,40.8,suburban,Medium,10.5
292.9,28.3,43.2,rural,Higher,21.4
112.9,17.4,38.6,rural,Basic,9
97.2,1.5,30,rural,Higher,9.6
265.6,20,0.3,rural,Basic,42
95.7,1.4,7.4,rural,Medium,9.5
290.7,4.1,8.5,rural,Higher,12.8
266.9,43.8,5,rural,Basic,25.4
74.7,49.4,45.7,urban,Medium,14.7
43.1,26.7,35.1,urban,Higher,10.1
228,37.7,32,suburban,Basic,21.5
202.5,22.3,31.6,suburban,Basic,16.6
177,33.4,38.7,rural,Higher,17.1
293.6,27.7,1.8,rural,Medium,20.7
206.9,8.4,26.4,rural,Medium,12.9
25.1,25.7,43.3,urban,Higher,8.5
175.1,22.5,31.5,rural,Basic,14.9
89.7,9.9,35.7,rural,Basic,10.6
239.9,41.5,18.5,urban,Higher,23.2
227.2,15.8,49.9,suburban,Medium,14.8
66.9,11.7,36.8,suburban,Medium,9.7
199.8,3.1,34.6,rural,Higher,11.4
100.4,9.6,3.6,suburban,Basic,10.7
216.4,41.7,39.6,suburban,Higher,22.6
182.6,46.2,58.7,suburban,Basic,31
262.7,28.8,15.9,rural,Medium,20.2
198.9,49.4,60,rural,Higher,23.7
7.3,28.1,41.4,rural,Basic,5.5
136.2,19.2,16.6,suburban,Medium,13.2
210.8,49.6,37.7,urban,Higher,23.8
210.7,29.5,9.3,suburban,Basic,18.4
53.5,2,21.4,suburban,Basic,8.1
261.3,42.7,54.7,suburban,Higher,24.2
239.3,15.5,27.3,suburban,Medium,15.7
102.7,29.6,8.4,suburban,Medium,14
131.1,42.8,28.9,suburban,Higher,18
69,9.3,0.9,rural,Basic,9.3
31.5,24.6,2.2,suburban,Basic,9.5
139.3,14.5,10.2,rural,Higher,13.4
237.4,27.5,11,rural,Medium,18.9
216.8,43.9,27.2,suburban,Medium,22.3
199.1,30.6,38.7,rural,Higher,18.3
109.8,14.3,31.7,urban,Basic,12.4
26.8,33,19.3,suburban,Higher,8.8
129.4,5.7,31.3,suburban,Basic,11
213.4,24.6,13.1,rural,Medium,17
16.9,43.7,89.4,suburban,Higher,8.7
27.5,1.6,20.7,suburban,Basic,6.9
120.5,28.5,14.2,rural,Medium,14.2
5.4,29.9,9.4,rural,Higher,5.3
116,7.7,23.1,suburban,Basic,12
76.4,26.7,22.3,rural,Basic,11.8
239.8,4.1,36.9,suburban,Higher,12.3
75.3,20.3,32.5,suburban,Medium,11.3
68.4,44.5,35.6,rural,Medium,13.6
